Genre,Populariy,Rating,Unique anime
Action,2854,6.468,811
Fantasy,1861,6.204,621
Gore,635,6.761,132
Super Power,517,6.311,127
Comedy,1673,6.29,649
Delinquents,47,6.34,12
School,1200,6.322,401
CGDCT,63,7.19,35
Music,105,6.638,60
Mystery,619,6.887,210
Supernatural,1011,6.801,280
Suspense,443,7.192,81
Psychological,672,6.94,142
Time Travel,210,6.976,37
Boys Love,10,3.3,5
Hentai,49,3.653,44
Adult Cast,488,7.16,143
Organized Crime,119,6.908,30
Drama,1423,6.989,405
Award Winning,426,7.366,90
Sci-Fi,905,6.783,344
Mecha,262,6.847,95
Military,383,7.397,106
Space,77,7.273,54
Detective,100,7.11,41
Romance,863,6.137,358
Love Polygon,98,6.735,31
Adventure,1390,6.409,454
Historical,382,7.029,113
Mythology,204,6.123,80
Samurai,111,7.351,38
Survival,313,7.061,53
Avant Garde,119,6.916,24
Parody,229,6.76,64
Slice of Life,111,6.586,67
Childcare,66,7.091,16
Iyashikei,44,7.409,28
Ecchi,359,5.805,153
Gag Humor,197,7.137,60
Workplace,64,7.234,26
Sports,165,6.97,73
Team Sports,106,7.217,41
Romantic Subtext,156,6.712,34
Visual Arts,24,6.625,10
Vampire,174,6.764,53
Horror,393,6.092,127
Erotica,32,4.344,12
Harem,266,5.139,134
Isekai,383,6.18,125
Reincarnation,209,6.359,55
Strategy Game,73,6.233,28
Anthropomorphic,58,6.431,21
Pets,4,6.5,2
Video Game,85,5.8,26
Otaku Culture,93,6.097,33
High Stakes Game,100,6.27,20
Mahou Shoujo,33,6.394,21
Martial Arts,150,6.02,53
Showbiz,28,7.893,6
Girls Love,22,5.682,15
Combat Sports,40,6.6,19
Performing Arts,9,5.556,6
Racing,12,7.25,6
Magical Sex Shift,12,5.667,8
Gourmet,40,5.775,19
Educational,7,5.857,4
Medical,11,6.364,8
Crossdressing,4,5.5,4
Idols (Female),8,6.25,5
Reverse Harem,7,5.857,4
