Name,animeWatched,avgPopularity,avgDeviation,avgYear,avgRating,avgAvgRating,aotIndex
1Igo,318,476,1.0714,2016.59,6.877,7.634,45
Achmetha0626,100,657,1.0972,2014.79,7.73,7.488,0
Ashley___,203,464,1.2219,2014.03,7.074,7.961,54
Bolobos,357,1160,2.4257,2008.84,5.647,7.807,71
Bugsbunnyfake,293,1604,4.9502,2012.5,2.802,7.742,10
Darconic,269,625,1.1759,2014.32,7.178,8.044,66
EyeSiN,79,403,1.4619,2018.1,7.519,8.178,76
im_berny,184,801,1.3623,2018.02,6.864,7.704,52
Kewpie2001,834,1149,1.096,2015.57,6.675,7.568,76
Kiriyama_Rei18,286,1455,1.3649,2016.86,6.64,7.862,70
Krazyyyyy,130,357,1.5294,2015.57,6.862,7.945,6
Krutish,156,432,2.6456,2016.53,5.949,7.93,45
Ks0345,232,1196,1.23,2017.06,6.707,7.814,73
Kunasenpai,539,1832,1.3102,2012.6,6.588,7.429,40
Oubwio,131,723,1.1919,2017.56,7.023,8.07,66
Patiss0n,166,429,1.4725,2015.31,6.982,8.144,87
Pekyo,151,607,1.3137,2014.91,6.669,7.747,43
Rara019,132,872,1.308,2016.93,7.439,7.541,33
Rishon007,170,1130,1.6134,2016.82,6.453,7.832,62
thelambda,292,1168,1.7113,2016.66,6.003,7.595,7
thisonebee,216,564,2.1263,2016.17,5.87,7.716,30
Viscount-Zeimo,117,385,1.4384,2014.24,7.0,7.932,46
YamiNoTensai,202,,,,,,0
