Year,Populariy,Rating,Unique anime
2014,224,6.54,52
2017,234,6.368,59
2022,336,6.655,85
2016,231,6.597,57
2018,311,6.206,76
2019,320,6.675,68
2021,399,6.115,94
2015,248,6.601,61
2006,100,7.32,25
2008,65,7.046,25
1998,39,7.436,12
2020,205,6.42,62
2009,73,7.0,27
2013,110,6.891,38
1999,36,7.194,10
2011,133,6.91,37
2012,164,6.768,48
2010,75,5.92,31
2004,72,7.167,17
2007,85,6.824,22
2002,35,6.4,11
1997,16,7.438,4
1995,16,8.188,4
2023,212,6.528,74
1992,6,6.167,3
2001,15,6.533,7
2003,22,5.909,13
2000,12,7.25,5
2005,16,7.125,12
1979,5,6.0,4
1985,2,7.5,2
1989,11,6.636,4
1996,11,6.545,7
1993,7,7.143,3
1980,2,7.0,2
1982,3,6.667,2
1977,2,5.5,2
1986,7,6.571,2
1981,2,5.0,2
1967,1,2.0,1
1983,2,4.0,2
1994,3,5.667,2
1970,1,7.0,1
1976,2,5.0,2
1987,2,6.0,2
1991,1,6.0,1
1988,1,7.0,1
1984,2,3.5,2
